交差点番号,管理者名,交差点名,地先名,緯度,経度
6240550331,渡島総合振興局 函館建設管理部,,函館市青柳町１３,41.7603004377775 ,140.7158088684080 
6240550336,函館市,,函館市西桔梗町８５０,41.8198154500445 ,140.7161521911620 
6240550343,函館市,,函館市谷地頭町３５,41.7528731843024 ,140.7163238525390 
6240550348,渡島総合振興局 函館建設管理部,,函館市青柳町１４,41.7604284863344 ,140.7164955139160 
6240550350,函館市,,函館市谷地頭町３５,41.7538976841588 ,140.7166671752930 
6240550361,函館市,,函館市谷地頭町３６,41.7547941081192 ,140.7170104980470 
6240550370,渡島総合振興局 函館建設管理部,,函館市元町２６,41.7606845826816 ,140.7171821594240 
6240550393,渡島総合振興局 函館建設管理部,,函館市宝来町６,41.7609406780068 ,140.7180404663090 
6240550399,函館市,,函館市青柳町３３,41.7563308057809 ,140.7183837890620 
6240550400,函館市,,函館市青柳町３３,41.7563308057809 ,140.7183837890620 
6240550402,渡島総合振興局 函館建設管理部,,函館市宝来町５,41.7610687252862 ,140.7183837890620 
6240550412,函館市,,函館市港町三丁目,41.8116274157225 ,140.7187271118160 
6240550424,函館市,,函館市青柳町３０,41.7573552504481 ,140.7194137573240 
6240550435,渡島総合振興局 函館建設管理部,,函館市宝来町２２,41.7614528655911 ,140.7197570800780 
6240550439,函館市,,函館市豊川町１３,41.7669586239254 ,140.7199287414550 
6240550441,函館市,,函館市宝来町２３,41.7627333166659 ,140.7201004028320 
6240550443,函館市,,函館市宝来町２,41.7579955200611 ,140.7201004028320 
6240550444,函館市,,函館市宝来町２１,41.7608126304720 ,140.7201004028320 
6240550453,函館市,,函館市豊川町１３,41.7672146942102 ,140.7204437255860 
6240550454,函館市,,函館市宝来町３,41.7583796787628 ,140.7204437255860 
6240550456,函館市,,函館市宝来町１９,41.7600443398971 ,140.7206153869630 
6240550462,函館市,,函館市豊川町１,41.7632208587765 ,140.7206654062220 
6240550471,函館市,,函館市宝来町１９,41.7596171348032 ,140.7209030855230 
6240550479,函館市,,函館市豊川町３,41.7636749893545 ,140.7212653260420 
6240550484,函館市,,函館市宝来町１９,41.7598546237089 ,140.7214655208620 
6240550487,函館市,豊川,函館市豊川,41.7679953072314 ,140.7214692330070 
6240550491,函館市,,函館市豊川町４,41.7639499682595 ,140.7216527752810 
6240550497,函館市,,函館市西桔梗町５８９番１４７,41.8270881796483 ,140.7218658941860 
