小字名,市区町村名,地番,予備名,center_lng,center_lat
字上利別,足寄郡陸別町,13-26,,143.729382,43.421006
字上利別,足寄郡陸別町,15-78,,143.727466,43.421391
字上利別,足寄郡陸別町,15-30,,143.726252,43.421741
字上利別,足寄郡陸別町,13-27,,143.727676,43.421975
字上利別,足寄郡陸別町,13-5,,143.729409,43.421833
字上利別,足寄郡陸別町,13-4,,143.728502,43.421501
字上利別,足寄郡陸別町,14-2,,143.729828,43.420421
字上利別,足寄郡陸別町,14-1,,143.730129,43.420702
字上利別,足寄郡陸別町,28-1,,143.730177,43.424398
字上利別,足寄郡陸別町,13-14,,143.728996,43.423785
字上利別,足寄郡陸別町,水-4,,143.72488,43.423651
字上利別,足寄郡陸別町,13-31,,143.72759,43.424687
字上利別,足寄郡陸別町,13-36,,143.728646,43.424935
字上利別,足寄郡陸別町,13-30,,143.727996,43.42605
字上利別,足寄郡陸別町,13-28,,143.727163,43.426763
字上利別,足寄郡陸別町,13-9,,143.727971,43.42689
字上利別,足寄郡陸別町,13-29,,143.728476,43.425697
字上利別,足寄郡陸別町,28-2,,143.729239,43.425305
字上利別,足寄郡陸別町,27-1,,143.730073,43.425926
字上利別,足寄郡陸別町,27-2,,143.731165,43.426211
字上利別,足寄郡陸別町,30-1,,143.731615,43.424242
字上利別,足寄郡陸別町,30-2,,143.732658,43.423337
字上利別,足寄郡陸別町,35W1,,143.729344,43.425901
字上利別,足寄郡陸別町,32W1,,143.734251,43.423447
字上利別,足寄郡陸別町,29,,143.734566,43.4252
字上利別,足寄郡陸別町,12-3,,143.732633,43.431675
字上利別,足寄郡陸別町,12-14,,143.732419,43.432166
字上利別,足寄郡陸別町,13-6,,143.727984,43.42746
字上利別,足寄郡陸別町,13-7,,143.727116,43.427832
字上利別,足寄郡陸別町,13-1,,143.728205,43.428099
字上利別,足寄郡陸別町,12-4,,143.7287,43.429067
字上利別,足寄郡陸別町,水-7,,143.728659,43.428867
字上利別,足寄郡陸別町,12-9,,143.728903,43.429268
字上利別,足寄郡陸別町,12-8,,143.729072,43.429246
字上利別,足寄郡陸別町,12-10,,143.72902,43.429477
字上利別東一線,足寄郡陸別町,水-1,,143.730138,43.431606
字上利別東一線,足寄郡陸別町,道-2,,143.728774,43.430227
字上利別東一線,足寄郡陸別町,276-2,,143.728805,43.429857
字上利別東一線,足寄郡陸別町,276-12,,143.728299,43.43043
字上利別東一線,足寄郡陸別町,276-7,,143.72826,43.429706
字上利別東一線,足寄郡陸別町,276-3,,143.727271,43.429513
字上利別東一線,足寄郡陸別町,276-8,,143.727591,43.429913
字上利別東一線,足寄郡陸別町,276-13,,143.726875,43.429922
字上利別東一線,足寄郡陸別町,276-15,,143.727956,43.430419
字上利別東一線,足寄郡陸別町,276-9,,143.72817,43.430512
字上利別東一線,足寄郡陸別町,276-11,,143.727519,43.430492
字上利別東一線,足寄郡陸別町,276-1,,143.727267,43.430861
字上利別東一線,足寄郡陸別町,道-3,,143.727281,43.431222
字上利別東一線,足寄郡陸別町,278-1,,143.727752,43.431444
字上利別東一線,足寄郡陸別町,278-2,,143.729972,43.431011
字上利別東一線,足寄郡陸別町,278-6,,143.729948,43.430527
字上利別東一線,足寄郡陸別町,278-7,,143.729377,43.430182
字上利別,足寄郡陸別町,12-7,,143.729327,43.42956
字上利別東一線,足寄郡陸別町,道-1,,143.729536,43.43
字上利別,足寄郡陸別町,12-11,,143.730461,43.430579
字上利別東一線,足寄郡陸別町,278-8,,143.730797,43.431061
字上利別,足寄郡陸別町,12-15,,143.730932,43.431012
字上利別東一線,足寄郡陸別町,280-2,,143.730804,43.431485
