小字名,市区町村名,地番,大字名,center_lng,center_lat
字荷負,沙流郡平取町,145-6,,142.225642,42.669423
字荷負,沙流郡平取町,149-10,,142.225422,42.66961
字荷負,沙流郡平取町,376-7,,142.225711,42.669393
字荷負,沙流郡平取町,376-3,,142.225789,42.66944
字荷負,沙流郡平取町,364-3,,142.225804,42.669598
字荷負,沙流郡平取町,376-8,,142.225871,42.669514
字貫気別,沙流郡平取町,50-1,,142.226079,42.669529
字貫気別,沙流郡平取町,50-5,,142.225951,42.669449
字貫気別,沙流郡平取町,1-9,,142.225916,42.66937
字貫気別,沙流郡平取町,1-1,,142.225875,42.669318
字荷負,沙流郡平取町,368-2,,142.225913,42.669271
字貫気別,沙流郡平取町,586-2,,142.226076,42.669282
字貫気別,沙流郡平取町,1-12,,142.226042,42.669194
字貫気別,沙流郡平取町,460-2,,142.226129,42.669091
字貫気別,沙流郡平取町,459-2,,142.226294,42.668958
字貫気別,沙流郡平取町,1-13,,142.226394,42.668817
字貫気別,沙流郡平取町,31-2,,142.227194,42.66858
字貫気別,沙流郡平取町,31-13,,142.226887,42.668671
字貫気別,沙流郡平取町,31-1,,142.227014,42.668675
字貫気別,沙流郡平取町,586-4,,142.226906,42.66896
字貫気別,沙流郡平取町,31-9,,142.226381,42.669231
字貫気別,沙流郡平取町,31-8,,142.22635,42.669254
字貫気別,沙流郡平取町,31-12,,142.226321,42.669254
字荷負,沙流郡平取町,376-2,,142.226009,42.669806
字荷負,沙流郡平取町,149-9,,142.22567,42.670477
字貫気別,沙流郡平取町,31-10,,142.227088,42.668497
字貫気別,沙流郡平取町,50-3,,142.22936,42.669222
字貫気別,沙流郡平取町,586-1,,142.229311,42.668585
字貫気別,沙流郡平取町,50-4,,142.228986,42.67005
字貫気別,沙流郡平取町,50-2,,142.229537,42.67229
字貫気別,沙流郡平取町,47-1,,142.232204,42.670516
字貫気別,沙流郡平取町,51-2,,142.233421,42.673083
字貫気別,沙流郡平取町,51-1,,142.232534,42.672556
字貫気別,沙流郡平取町,54-3,,142.23537,42.673123
字貫気別,沙流郡平取町,54-1,,142.235884,42.671422
字貫気別,沙流郡平取町,55-2,,142.236368,42.671377
字貫気別,沙流郡平取町,47-4,,142.235262,42.671003
字貫気別,沙流郡平取町,54-2,,142.235258,42.672031
字貫気別,沙流郡平取町,47-2,,142.233212,42.670869
字貫気別,沙流郡平取町,47-3,,142.234228,42.670557
字貫気別,沙流郡平取町,47-11,,142.234959,42.670009
字貫気別,沙流郡平取町,47-12,,142.235121,42.67017
字貫気別,沙流郡平取町,47-10,,142.234926,42.670367
字貫気別,沙流郡平取町,47-5,,142.236689,42.670731
字貫気別,沙流郡平取町,47-6,,142.235983,42.669893
字貫気別,沙流郡平取町,48-4,,142.235728,42.669594
字貫気別,沙流郡平取町,47-13,,142.235417,42.670082
字貫気別,沙流郡平取町,48-3,,142.235346,42.669079
字貫気別,沙流郡平取町,43-9,,142.235596,42.669331
字貫気別,沙流郡平取町,43-1,,142.235671,42.669181
字貫気別,沙流郡平取町,44-9,,142.236459,42.669589
字貫気別,沙流郡平取町,44-6,,142.23733,42.668993
字貫気別,沙流郡平取町,43-2,,142.236471,42.668895
字貫気別,沙流郡平取町,42-2,,142.236351,42.668579
字貫気別,沙流郡平取町,42-1,,142.235508,42.668976
字貫気別,沙流郡平取町,42-10,,142.235429,42.669116
字貫気別,沙流郡平取町,49-6,,142.235313,42.66871
字貫気別,沙流郡平取町,49-9,,142.235056,42.668589
字貫気別,沙流郡平取町,49-8,,142.235251,42.668553
字貫気別,沙流郡平取町,48-5,,142.234587,42.668781
字貫気別,沙流郡平取町,48-6,,142.235088,42.668826
字貫気別,沙流郡平取町,48-2,,142.2352,42.669393
字貫気別,沙流郡平取町,49-10,,142.234309,42.668739
字貫気別,沙流郡平取町,49-3,,142.232244,42.668815
字貫気別,沙流郡平取町,48-8,,142.231253,42.669691
字貫気別,沙流郡平取町,49-11,,142.232877,42.669151
字貫気別,沙流郡平取町,586-3,,142.23237,42.66937
字貫気別,沙流郡平取町,48-1,,142.234329,42.669497
字貫気別,沙流郡平取町,50-6,,142.230977,42.669944
字貫気別,沙流郡平取町,48-7,,142.231007,42.66965
字貫気別,沙流郡平取町,49-1,,142.230289,42.668883
字貫気別,沙流郡平取町,49-2,,142.230808,42.668295
字貫気別,沙流郡平取町,49-4,,142.233374,42.667701
字貫気別,沙流郡平取町,32-5,,142.23245,42.666523
字貫気別,沙流郡平取町,1-10,,142.228797,42.666996
字貫気別,沙流郡平取町,32-20,,142.230729,42.66753
字貫気別,沙流郡平取町,32-3,,142.230085,42.666948
字貫気別,沙流郡平取町,32-15,,142.230329,42.665686
字貫気別,沙流郡平取町,32-25,,142.230329,42.665732
字貫気別,沙流郡平取町,32-8,,142.230341,42.665637
字貫気別,沙流郡平取町,32-4,,142.231471,42.665565
字貫気別,沙流郡平取町,32-9,,142.231728,42.665262
字貫気別,沙流郡平取町,17-7,,142.231931,42.665097
字貫気別,沙流郡平取町,17-5,,142.231921,42.66512
字貫気別,沙流郡平取町,16-24,,142.231455,42.665112
字貫気別,沙流郡平取町,16-25,,142.231403,42.665117
字貫気別,沙流郡平取町,16-2,,142.231108,42.66497
字貫気別,沙流郡平取町,16-13,,142.231026,42.665167
字貫気別,沙流郡平取町,32-26,,142.230591,42.665448
字貫気別,沙流郡平取町,16-14,,142.23044,42.665376
字貫気別,沙流郡平取町,16-22,,142.230163,42.665561
字貫気別,沙流郡平取町,16-15,,142.23077,42.665004
字貫気別,沙流郡平取町,5-14,,142.230529,42.665135
字貫気別,沙流郡平取町,5-26,,142.230467,42.66446
字貫気別,沙流郡平取町,5-29,,142.230651,42.664804
字貫気別,沙流郡平取町,5-15,,142.230811,42.664777
字貫気別,沙流郡平取町,5-17,,142.231082,42.66436
字貫気別,沙流郡平取町,5-8,,142.230959,42.664159
字貫気別,沙流郡平取町,5-24,,142.230463,42.664343
字貫気別,沙流郡平取町,5-28,,142.230785,42.663979
字貫気別,沙流郡平取町,5-18,,142.231537,42.664217
字貫気別,沙流郡平取町,16-17,,142.23177,42.664081
字貫気別,沙流郡平取町,16-16,,142.231424,42.66439
字貫気別,沙流郡平取町,16-9,,142.231541,42.66473
字貫気別,沙流郡平取町,16-3,,142.232035,42.664345
字貫気別,沙流郡平取町,6-6,,142.232129,42.663679
字貫気別,沙流郡平取町,16-4,,142.232541,42.663908
字貫気別,沙流郡平取町,16-5,,142.233421,42.664038
字貫気別,沙流郡平取町,17-1,,142.233648,42.66455
字貫気別,沙流郡平取町,17-6,,142.23274,42.665153
字貫気別,沙流郡平取町,32-18,,142.23318,42.665283
字貫気別,沙流郡平取町,32-12,,142.232926,42.6653
字貫気別,沙流郡平取町,17-9,,142.231813,42.665063
字貫気別,沙流郡平取町,32-16,,142.232453,42.665276
字貫気別,沙流郡平取町,32-10,,142.232209,42.66526
字貫気別,沙流郡平取町,32-27,,142.232022,42.665281
字貫気別,沙流郡平取町,32-17,,142.232481,42.665271
字貫気別,沙流郡平取町,32-11,,142.232492,42.665253
字貫気別,沙流郡平取町,32-19,,142.23336,42.665796
