Rosen_Code,Rosen_Name
"00000300112003","７号北神戸線有野出入路線（複線０３）"
"00000300113000","５号湾岸線"
"00000300113001","５号湾岸線中島出入路線（バイパス複線０１）"
"00000300113002","５号湾岸（垂水）線（複線０２）"
"00000300113003","５号湾岸線住吉浜出入路線（複線０３）"
"00000300113004","５号湾岸線深江浜東行出路線（複線０４）"
"00000300113005","５号湾岸線深江浜西行入路線（複線０５）"
"00000300113006","５号湾岸線魚崎浜出入路線"
"00000300113007","５号湾岸線深江浜西行出路線（複線０７）"
"00000300113008","５号湾岸線深江浜東行入路線（複線０８）"
"00000300113009","尼崎東海岸出入路線（複線０９）"
"00000300114000","２号淀川左岸線"
"00000300114001","２号淀川左岸線ユニバーサルシティ出路（複線０１）"
"00000300114002","２号淀川左岸線大開出入路"
"00000300115000","３１号神戸山手線"
"00000300115001","３１号神戸山手線湊川ＪＣＴ（複線０１）"
"00000300116000","大和川線"
"00000300116001","大和川線"
"00000300116002","大和川線"
"00000300116003","都市高速道１１６号複線３"
"00000300116004","都市高速道１１６号複線４"
"00000300116005","都市高速道１１６号複線５"
"00000300116006","都市高速道１１６号複線６"
"01000400001000","小樽定山渓線"
"01000400001002","小樽定山渓線（複線０２）"
"01000400002000","洞爺湖登別線"
"01000400003000","札幌夕張線"
"01000400004000","旭川芦別線"
"01000400005000","江差木古内線"
"01000400006000","岩見沢月形線"
"01000400007000","北見常呂線"
"01000400008000","根室中標津線"
"01000400009000","寿都黒松内線"
"01000400010000","千歳鵡川線"
"01000400011000","月形厚田線"
"01000400012000","枝幸音威子府線"
"01000400013000","中標津標茶線"
"01000400014000","厚岸標茶線"
"01000400015000","幕別大樹線"
"01000400016000","支笏湖公園線"
"01000400017000","小樽港線"
"01000400018000","札幌停車場線"
"01000400019000","苫小牧停車場線"
"01000400020000","旭川停車場線"
"01000400021000","留萌停車場線"
"01000400022000","留萌港線"
"01000400023000","網走停車場線"
"01000400024000","釧路停車場線"
"01000400025000","釧路港線"
