Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,Hankei,Kudari,Nobori,Kudari_Nobori,Mawari,Kudari_J11,Nobori_J11,Kudari_J12,Nobori_J12,Kudari_J13,Nobori_J13,Kudari_J21,Nobori_J21,Kudari_J22,Nobori_J22,Kudari_J23,Nobori_J23,Kudari_J31,Nobori_J31,Kudari_J32,Nobori_J32,Kudari_J33,Nobori_J33,Kudari_J4,Nobori_J4,Chisaki_Knj
200237000,0,6442230007,6442230005,0.0,2,0.045000002,160.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,日高町宮下町３丁目
200237000,379,6442010006,6442010018,0.37900001,2,0.18000001,160.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,平取町荷負
200237000,433,6442330002,6442330024,0.433,2,0.037,60.0,4.0,4.0,0.0,0,3,3,3,3,3,3,1,1,2,2,3,3,1,1,2,2,3,3,1,1,占冠村字中央
200237000,1231,6442730052,6442730006,1.2309999,2,0.057999998,160.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,富良野市布部
200237000,1416,6542330053,6542230009,1.416,2,0.259,150.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,美瑛町花見岡
200237000,1657,6442230010,6442230007,1.6569999,2,0.28999999,160.0,3.0,3.0,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,日高町字日高６１６
200237000,4013,6542130304,6542030082,4.013,2,0.24699999,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,中富良野町振縫橋詰
200237000,5485,6442430002,6442330009,5.4850001,2,0.18099999,70.0,3.0,3.0,0.0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,南富良野町字金山
200237000,5940,6442020006,6442010006,5.9400001,2,0.185,150.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,平取町荷負
200237000,8556,6442010018,6342710005,8.5559998,2,0.171,180.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,平取町二風谷
200237000,18156,6442230002,6442020046,18.156,2,0.133,100.0,3.25,3.25,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,平取町岩知志
200238000,0,6841270005,6841270002,0.0,2,0.153,180.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,猿払村知来別
200238000,0,6742060004,6742060012,0.0,2,0.141,200.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,雄武町枝幸町界
200238000,45,6644000010,6644100067,0.045000002,2,0.101,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,網走市卯原内
200238000,133,6644100011,6643170008,0.133,2,0.175,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,北見市字岐阜
