KANRI_OFFICE_CD,KJ_NM,地整コード,管理都道府県コード
"205206","男鹿市",2,5
"205207","湯沢市",2,5
"205209","鹿角市",2,5
"205210","由利本荘市",2,5
"205211","潟上市",2,5
"205212","大仙市",2,5
"205213","北秋田市",2,5
"205214","にかほ市",2,5
"205215","仙北市",2,5
"205303","小坂町",2,5
"205327","上小阿仁村",2,5
"205346","藤里町",2,5
"205348","三種町",2,5
"205349","八峰町",2,5
"205361","五城目町",2,5
"205363","八郎潟町",2,5
"205366","井川町",2,5
"205368","大潟村",2,5
"205434","美郷町",2,5
"205463","羽後町",2,5
"205464","東成瀬村",2,5
"206","山形県庁",2,6
"206054","山形県　村山総合支庁（本庁舎）",2,6
"206055","山形県　村山総合支庁（西庁舎）",2,6
"206056","山形県　村山総合支庁（北庁舎）",2,6
"206057","山形県　最上総合支庁",2,6
"206058","山形県　置賜総合支庁（本庁舎）",2,6
"206059","山形県　置賜総合支庁（西庁舎）",2,6
"206072","山形県　庄内総合支庁",2,6
"206201","山形市",2,6
"206202","米沢市",2,6
"206203","鶴岡市",2,6
"206204","酒田市",2,6
"206205","新庄市",2,6
"206206","寒河江市",2,6
"206207","上山市",2,6
"206208","村山市",2,6
"206209","長井市",2,6
"206210","天童市",2,6
"206211","東根市",2,6
"206212","尾花沢市",2,6
"206213","南陽市",2,6
"206301","山辺町",2,6
"206302","中山町",2,6
"206321","河北町",2,6
"206322","西川町",2,6
"206323","朝日町",2,6
"206324","大江町",2,6
"206341","大石田町",2,6
"206361","金山町",2,6
"206362","最上町",2,6
"206363","舟形町",2,6
"206364","真室川町",2,6
"206365","大蔵村",2,6
"206366","鮭川村",2,6
"206367","戸沢村",2,6
"206381","高畠町",2,6
"206382","川西町",2,6
"206401","小国町",2,6
"206402","白鷹町",2,6
"206403","飯豊町",2,6
"206426","三川町",2,6
"206428","庄内町",2,6
"206461","遊佐町",2,6
"206800","山形県道路公社",2,6
"207","福島県庁",2,7
"207051","福島県　県北建設事務所",2,7
"207052","福島県　県中建設事務所",2,7
"207053","福島県　県南建設事務所",2,7
"207054","福島県　会津若松建設事務所",2,7
"207055","福島県　喜多方建設事務所",2,7
"207056","福島県　南会津建設事務所",2,7
"207057","福島県　相双建設事務所",2,7
"207058","福島県　いわき建設事務所",2,7
"207201","福島市",2,7
"207202","会津若松市",2,7
"207203","郡山市",2,7
"207204","いわき市",2,7
"207205","白河市",2,7
"207207","須賀川市",2,7
"207208","喜多方市",2,7
"207209","相馬市",2,7
"207210","二本松市",2,7
"207211","田村市",2,7
"207212","南相馬市",2,7
"207213","伊達市",2,7
"207214","本宮市",2,7
"207301","桑折町",2,7
"207303","国見町",2,7
"207308","川俣町",2,7
"207322","大玉村",2,7
"207342","鏡石町",2,7
"207344","天栄村",2,7
"207362","下郷町",2,7
"207364","檜枝岐村",2,7
"207367","只見町",2,7
"207368","南会津町",2,7
"207402","北塩原村",2,7
"207405","西会津町",2,7
"207407","磐梯町",2,7
"207408","猪苗代町",2,7
"207421","会津坂下町",2,7
"207422","湯川村",2,7
"207423","柳津町",2,7
"207444","三島町",2,7
"207445","金山町",2,7
