Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,L_Fukuin,L_T,L_T350,L_T300,L_T175,L_T150,C_T,R_T150,R_T175,R_T300,R_T350,R_T,R_Fukuin,Seigen,Chisaki_Knj,Kouzou_Knj
"00000200009000",2800,"5235350775","5235340108",2.8,3,0.189,3.25,4.3499999,0,4.5900002,5.2600002,5.3299999,5.4699998,5.0700002,4.9400001,3.95,0,3.9100001,3.0799999,0,"亀岡市篠町王子","老ノ坂トンネル"
"00000200009000",2829,"5131240039","5131240027",2.829,3,0.141,3,4.3000002,0,4.3000002,5.0999999,5.25,5.5700002,5.4400001,5.3400002,4.4899998,0,4.4899998,3,0,"山口市大字宮野上","梶木隧道"
"00000200009000",3078,"5131240039","5131240027",3.0780001,3,0.123,3.25,4.4000001,0,4.8000002,5.5999999,5.6999998,5.9499998,5.75,5.6500001,4.8499999,0,4.3000002,3.25,0,"山口市大字宮野上","峠山隧道"
"00000200009000",3398,"5232630055","5232530018",3.398,3,0.384,2.97,4.23,0,0,5.71,5.96,6.8899999,5.96,5.71,4.4400001,0,4.23,3.1600001,0,"大田市宅野","宅野トンネル"
"00000200009000",3570,"5235530031","5235530096",3.5699999,3,0.24600001,2.9000001,4.21,0,0,5,5.1199999,5.46,5.29,5.21,0,0,4.6500001,2.8699999,0,"南丹市上木崎町","観音トンネル"
"00000200009000",3591,"5131340013","5131240039",3.5910001,3,0.82300001,3.25,4.3000002,0,4.6500001,5.54,5.6599998,5.8800001,5.6900001,5.52,4.6500001,0,4.3000002,3.25,0,"山口市阿東篠目","木戸山隧道"
"00000200009000",3867,"5232530018","5232530010",3.8670001,3,0.266,3.04,4.3200002,0,4.3600001,5.71,5.9000001,6.46,5.9000001,5.71,4.3600001,0,4.29,3.0799999,0,"大田市大字馬路","馬路トンネル"
"00000200009000",4071,"5334050008","5334040047",4.0710001,3,1.256,3.25,4.1500001,0,4.4000001,4.4400001,4.5,4.5,4.5,4.4400001,4.4000001,0,4.1500001,3.25,3.95,"養父市関宮","但馬トンネル"
"00000200009000",4306,"5232530018","5232530010",4.3060002,3,0.089000002,3.0599999,4.3000002,0,4.3000002,5.5799999,5.8499999,6.3200002,5.8499999,5.5799999,4.1700001,0,4.3000002,3.02,0,"大田市大字馬路","神畑トンネル"
"00000200009000",4358,"5232630055","5232530018",4.3579998,3,0.236,3.0699999,3.8299999,0,3.8900001,5.6199999,5.8000002,6.3099999,5.8000002,5.6199999,4.2800002,0,4.23,3.0699999,0,"大田市大字宅野～同町仁万","仁万トンネル"
"00000200009000",4544,"5232530018","5232530010",4.5440001,3,0.186,2.97,4.21,0,0,5.79,5.9000001,6.5100002,5.9000001,5.79,4.29,0,4.4499998,3.1600001,0,"大田市大字馬路","大野トンネル"
"00000200009000",4810,"5232530018","5232530010",4.8099999,3,0.2,3.1700001,4.3400002,0,4.5900002,5.8099999,5.96,6.3200002,5.96,5.8099999,4.5900002,0,4.3400002,3.1700001,0,"大田市馬路温泉津町湯里","湯里トンネル"
"00000200009000",4970,"5235700070","5234770039",4.9699998,3,0.153,3.05,4.0999999,0,4.0999999,5.1999998,5.3000002,5.5999999,5.3000002,5.1999998,4.0999999,0,4.0999999,3.05,4.0999999,"福知山市夜久野町井田","夜久野隧道"
"00000200010000",280,"4730440104","4730341265",0.28,3,0.36700001,3.25,4.3000002,4.6999998,4.9000001,5.4000001,5.6999998,5.9000001,5.6999998,5.4000001,4.9000001,4.6999998,4.3000002,3.25,0,"鹿児島市吉野町","鳥越トンネル"
"00000200010000",757,"4831750184","4831750169",0.75700003,3,0.16,3,4.3000002,0,4.3000002,5.1500001,5.25,5.5500002,5.25,5.1500001,4.3000002,0,4.3000002,3,0,"延岡市大峡町","和田越トンネル"
"00000200010000",2350,"4931260036","4931250002",2.3499999,3,0.052999999,3.25,4.7199998,0,4.7199998,5.5300002,5.6300001,5.8600001,5.6100001,5.5100002,4.4699998,0,4.4699998,3,0,"佐伯市宇目大字仁田原","椛原トンネル"
"00000200010000",3170,"4731720031","4731610017",3.1700001,3,0.25,3.25,4.5500002,0,4.8000002,5.5,5.5599999,5.7199998,5.5100002,5.4099998,4.6700001,0,4.3200002,3.3,0,"宮崎市浦之名","唐崎トンネル"
"00000200010000",3380,"4931050027","4931050003",3.3800001,3,0.303,3.03,4.3000002,0,4.3200002,5.2800002,5.3899999,5.6999998,5.4299998,5.3200002,0,0,4.3899999,2.98,0,"北川町川内名","市棚トンネル"
