交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240550299,渡島総合振興局 函館建設管理部,,函館市元町１９,41.76042849,140.7144356,,
6240550302,函館市,,函館市谷地頭町１２,41.75338544,140.7144356,,
6240550307,北海道開発局 函館開発建設部,,函館市大町,41.76631844,140.7146072,,
6240550310,渡島総合振興局 函館建設管理部,,函館市元町１９,41.75991629,140.7147789,,
6240550323,函館市,,函館市谷地頭町２６,41.75312931,140.7152939,,
6240550329,渡島総合振興局 函館建設管理部,,函館市青柳町１３,41.76017239,140.7156372,,
6240550331,渡島総合振興局 函館建設管理部,,函館市青柳町１３,41.76030044,140.7158089,,
6240550336,函館市,,函館市西桔梗町８５０,41.81981545,140.7161522,,
6240550343,函館市,,函館市谷地頭町３５,41.75287318,140.7163239,,
6240550348,渡島総合振興局 函館建設管理部,,函館市青柳町１４,41.76042849,140.7164955,,
6240550350,函館市,,函館市谷地頭町３５,41.75389768,140.7166672,,
6240550361,函館市,,函館市谷地頭町３６,41.75479411,140.7170105,,
6240550370,渡島総合振興局 函館建設管理部,,函館市元町２６,41.76068458,140.7171822,,
6240550393,渡島総合振興局 函館建設管理部,,函館市宝来町６,41.76094068,140.7180405,,
6240550399,函館市,,函館市青柳町３３,41.75633081,140.7183838,,
6240550400,函館市,,函館市青柳町３３,41.75633081,140.7183838,,
6240550402,渡島総合振興局 函館建設管理部,,函館市宝来町５,41.76106873,140.7183838,,
6240550412,函館市,,函館市港町三丁目,41.81162742,140.7187271,,
6240550424,函館市,,函館市青柳町３０,41.75735525,140.7194138,,
6240550435,渡島総合振興局 函館建設管理部,,函館市宝来町２２,41.76145287,140.7197571,,
6240550439,函館市,,函館市豊川町１３,41.76695862,140.7199287,,
6240550441,函館市,,函館市宝来町２３,41.76273332,140.7201004,,
6240550443,函館市,,函館市宝来町２,41.75799552,140.7201004,,
6240550444,函館市,,函館市宝来町２１,41.76081263,140.7201004,,
6240550453,函館市,,函館市豊川町１３,41.76721469,140.7204437,,
6240550454,函館市,,函館市宝来町３,41.75837968,140.7204437,,
6240550456,函館市,,函館市宝来町１９,41.76004434,140.7206154,,
6240550462,函館市,,函館市豊川町１,41.76322086,140.7206654,,
6240550471,函館市,,函館市宝来町１９,41.75961713,140.7209031,,
6240550479,函館市,,函館市豊川町３,41.76367499,140.7212653,,
6240550484,函館市,,函館市宝来町１９,41.75985462,140.7214655,,
6240550487,函館市,豊川,函館市豊川,41.76799531,140.7214692,,
6240550491,函館市,,函館市豊川町４,41.76394997,140.7216528,,
6240550497,函館市,,函館市西桔梗町５８９番１４７,41.82708818,140.7218659,,
6240550502,函館市,豊川,函館市豊川,41.76765786,140.7218276,,
6240550504,函館市,,函館市宝来町１９,41.76005045,140.7219446,,
6240550509,函館市,,函館市西桔梗町８２７,41.82400106,140.7222244,,
6240550512,函館市,,函館市豊川町４,41.76447076,140.7223402,,
6240550517,函館市,豊川,函館市豊川,41.7672121,140.7223859,,
6240550521,函館市,,函館市大手町９,41.76898689,140.7225524,,
6240550523,函館市,,函館市宝来町２６,41.7603546,140.7226154,,
6240550532,渡島総合振興局 函館建設管理部,,函館市港町１丁目,41.80074973,140.7229214,,
6240550542,函館市,,函館市西桔梗町,41.82711738,140.7230783,,
6240550545,函館市,,函館市豊川町１８,41.76517904,140.7232401,,
6240550549,函館市,,函館市東川町５,41.76066292,140.7233486,,
6240550575,函館市,,函館市東川町５,41.76098469,140.724062,,
6240550577,函館市,,函館市豊川町１９,41.76592064,140.7240608,,
6240550579,函館市,,函館市北浜町８,41.79899165,140.7241881,,
6240550596,函館市,,函館市西桔梗町５５５番,41.82184723,140.7246368,,
6240550611,函館市,,函館市東川町６,41.7617545,140.7249609,,
6240550623,函館市,,函館市北浜町,41.79725856,140.7252256,,
6240550625,函館市,,函館市旭町６,41.76697888,140.7252439,,
