小字名,QGIS_ID,地番,version,大字名,市町村C,測地判別,予備名,丁目名,市町村名,center_lng,center_lat
字北兵村一区,01558長狭物不明-9,長狭物不明-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.575359,44.181034
字北兵村一区,01558無地番-10,無地番-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.582799,44.175147
字屯田市街地,01558道-7,道-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.579288,44.154359
字北兵村一区,01558無地番-6,無地番-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.577725,44.173416
字北兵村一区,01558長狭物不明-12,長狭物不明-12,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.574406,44.179065
字北兵村一区,01558長狭物不明-6,長狭物不明-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573268,44.178103
字北兵村一区,01558水-1,水-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.565599,44.176064
字屯田市街地,01558道-3,道-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.569235,44.152072
字屯田市街地,01558道-63,道-63,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.574363,44.155305
字旭,01558道-1,道-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.553962,44.208982
字旭,01558道-3,道-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.548683,44.212706
字旭,01558道-7,道-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.546482,44.208794
字旭,01558道-10,道-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.545194,44.207047
字旭,01558道-11,道-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.559182,44.205052
字旭,01558道-47,道-47,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.547703,44.211094
字旭,01558道-49,道-49,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.556875,44.213704
字旭,01558道-50,道-50,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.55282,44.21773
字旭,01558道-51,道-51,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.552748,44.212306
字旭,01558道-57,道-57,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.551212,44.20454
字旭,01558道-58,道-58,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.55761,44.202522
字旭,01558水-1,水-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.54913,44.211479
字旭,01558水-2,水-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.545079,44.204016
字旭,01558道-59,道-59,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.553831,44.20646
字旭,01558道-54,道-54,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.551854,44.201617
字富美,01558無地番-20,無地番-20,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.534779,44.148227
字富美,01558無地番-21,無地番-21,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.49171,44.140297
字富美,01558無地番-22,無地番-22,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.496429,44.142425
字屯田市街地,01558道-62,道-62,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581847,44.141424
字屯田市街地,01558水-1,水-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.582259,44.14145
字屯田市街地,01558水-19,水-19,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.582254,44.137861
字南兵村三区,01558無地番-1,無地番-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.557773,44.159946
字南兵村三区,01558無地番-2,無地番-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.554284,44.151438
字南兵村三区,01558無地番-6,無地番-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.562109,44.139772
字南兵村三区,01558道-4,道-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.563902,44.156516
字南兵村三区,01558道-5,道-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.566736,44.161109
字南兵村三区,01558道-6,道-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.56162,44.13465
字南兵村三区,01558道-7,道-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.550146,44.130702
字南兵村三区,01558道-8,道-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.556806,44.150564
字南兵村三区,01558道-9,道-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.56107,44.151931
字南兵村三区,01558道-16,道-16,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.56112,44.146437
字南兵村三区,01558道-17,道-17,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.546127,44.137046
字南兵村三区,01558道-21,道-21,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.555726,44.137657
字南兵村三区,01558道-25,道-25,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.549768,44.133594
字南兵村三区,01558水-3,水-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.548109,44.15206
字南兵村三区,01558水-4,水-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.54236,44.138091
字南兵村三区,01558水-5,水-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.546403,44.136497
字南兵村三区,01558長狭物不明-1,長狭物不明-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.55748,44.163517
字南兵村三区,01558長狭物不明-2,長狭物不明-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.550952,44.153856
字南兵村三区,01558長狭物不明-4,長狭物不明-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.554291,44.151295
字南兵村三区,01558長狭物不明-5,長狭物不明-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.548816,44.149431
字南兵村三区,01558長狭物不明-6,長狭物不明-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.547596,44.146143
字南兵村三区,01558長狭物不明-7,長狭物不明-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.545783,44.136705
字南兵村三区,01558長狭物不明-8,長狭物不明-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.546113,44.139777
字南兵村二区,01558無地番-8,無地番-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564981,44.126152
字南兵村二区,01558無地番-9,無地番-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.570244,44.127277
字南兵村二区,01558無地番-10,無地番-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.563726,44.126763
字南兵村二区,01558無地番-12,無地番-12,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.562777,44.135319
字南兵村二区,01558無地番-13,無地番-13,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.576102,44.137945
字南兵村二区,01558道-26,道-26,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564983,44.125954
字南兵村二区,01558道-27,道-27,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.572093,44.129189
字南兵村二区,01558道-28,道-28,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.565564,44.128528
字南兵村二区,01558道-29,道-29,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.589254,44.129186
字南兵村二区,01558道-30,道-30,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.571214,44.137691
字南兵村二区,01558道-31,道-31,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.565732,44.138959
字南兵村二区,01558道-32,道-32,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573525,44.134213
字南兵村二区,01558道-33,道-33,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.569657,44.138889
字南兵村二区,01558道-34,道-34,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.569022,44.137912
字南兵村二区,01558道-35,道-35,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.570579,44.1329
字南兵村二区,01558道-36,道-36,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.563399,44.135193
字南兵村二区,01558道-37,道-37,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.5722,44.131818
字南兵村二区,01558道-38,道-38,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.566702,44.13414
字南兵村二区,01558道-40,道-40,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.568489,44.133268
字南兵村二区,01558道-41,道-41,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.572897,44.136671
字南兵村二区,01558道-42,道-42,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.573175,44.137754
字南兵村二区,01558道-43,道-43,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.576935,44.13538
字南兵村二区,01558水-6,水-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.571894,44.127796
字南兵村二区,01558水-7,水-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564107,44.126651
字南兵村二区,01558水-8,水-8,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.581724,44.1314
字南兵村二区,01558水-9,水-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.585988,44.129465
字南兵村二区,01558水-10,水-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.582111,44.121171
字南兵村二区,01558水-11,水-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.56417,44.135135
字南兵村二区,01558水-12,水-12,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.5657,44.140821
字南兵村二区,01558水-13,水-13,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564818,44.13835
字南兵村二区,01558水-14,水-14,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564272,44.134837
字南兵村二区,01558水-16,水-16,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564844,44.132528
字南兵村二区,01558水-17,水-17,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.578471,44.13392
字南兵村二区,01558道-39,道-39,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.5661,44.133147
字南兵村二区,01558水-15,水-15,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.564938,44.133928
字南兵村三区,01558道-22,道-22,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.552589,44.138173
字南兵村三区,01558道-10,道-10,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.555407,44.142744
字南兵村三区,01558道-14,道-14,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.558181,44.14168
字南兵村三区,01558道-15,道-15,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.562396,44.145848
字南兵村三区,01558道-13,道-13,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.559553,44.141244
字南兵村三区,01558無地番-3,無地番-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.552993,44.151876
字南兵村三区,01558道-19,道-19,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.560133,44.137083
字南兵村三区,01558道-24,道-24,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.562162,44.140402
字南兵村三区,01558道-12,道-12,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.557363,44.144874
字南兵村三区,01558無地番-4,無地番-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.552691,44.15178
字南兵村三区,01558道-11,道-11,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.557965,44.146899
字南兵村三区,01558道-23,道-23,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.554837,44.140192
字南兵村三区,01558道-20,道-20,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.556833,44.136819
字屯田市街地,01558道-4,道-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.590746,44.150682
字屯田市街地,01558道-5,道-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.584903,44.137628
字屯田市街地,01558道-61,道-61,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.590652,44.154729
字屯田市街地,01558道-64,道-64,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.58215,44.145678
字屯田市街地,01558道-65,道-65,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.58793,44.146082
字屯田市街地,01558水-2,水-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.584585,44.137195
字屯田市街地,01558水-3,水-3,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.585367,44.141093
字屯田市街地,01558水-18,水-18,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.601773,44.154265
字南兵村二区,01558道-6,道-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.585682,44.130321
字南兵村二区,01558水-4,水-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.583431,44.129668
字開盛,01558無地番-1,無地番-1,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.504165,44.094298
